가맹점코드,위도,경도,가맹점명,주소
64KIEY,37.4998077,127.02948,마유유 마라탕(강남역점),"06130) 서울 강남구 강남대로94길 27, 지상2층 201호 역삼동 "
8XXFKJ,37.2650453,127.4053309,마장복합휴게소,17384) 경기도 이천시 마장면 중부고속도로 82 . 
AH0NNP,37.5170648,126.7623809,맛조은돼지불백,"14502) 경기 부천시 송내대로 388 200동 105호(약대동,부천테크노파크) "
BWF198,37.4846689,126.8818544,맘스터치_(가산센트럴점),"08516) 서울 금천구 디지털로10길 69 가산동, 가산 센트럴 푸르지오 시티 지하1층 GO5, G06호 "
E62E0Z,37.4771205,127.0455643,맘스터치_(포이사거리점),"06307) 서울 강남구 논현로 78, 1층 개포동 "
I2OLNT,37.5657399,127.0139417,만경식당,04566) 서울 중구 신당동 253-3 1층 
J07F26,37.5600591,126.8302531,마곡동소담김밥,07802) 서울특별시 강서구 마곡동로3길 26 1층 106호 
J98IQE,37.5698951,126.9843473,맘스터치_(종각역점),03189) 서울 종로구 종로 62-1 2층(종로2가) 
K0LAYF,37.4817399,126.8817895,만다린,"08502) 서울 금천구 가산디지털1로 186 가산동, 제이플라츠 B121-1 "
LX7G38,37.5015927,127.0268557,맘스터치_(강남역점),06129) 서울특별시 강남구 강남대로100길 10 역삼동 2층 
MAZR3Y,37.5143876,127.0654559,리숨두부(대웅제약점),"06170) 서울특별시 강남구 봉은사로114길 12 삼성동, 대웅제약빌딩 지하1층 5호"
P9GEBG,37.0868172,126.9094612,만리장성,18623) 경기 화성시 향남읍 발안공단로 90 구문천리 
SELF_9WE09Q,37.3974393,127.1120776,리듬앤버거,13524) 경기도 성남시 분당구 판교역로192번길 14-2 (삼평동) 2층 12호
SELF_JUVBSC,37.5497294,126.9176552,마실랭가이드,04047) 서울특별시 마포구 독막로3길 28-17 (서교동) 1층 
SELF_L92OS6,37.0004381,127.1721102,맘스터치_(안성공도점),17561) 경기도 안성시 공도읍 공도4로 3 1층 
SELF_PN5Z10,37.4970794,127.028718,리퍼크 메리츠타워본점,06232) 서울특별시 강남구 강남대로 382 (역삼동) 1층 
SYUTMO,37.5723917,127.0000499,막걸리데이,"03129) 서울특별시 종로구 종로31가길 12, 1층(연지동) "
U8RNQZ,37.3942062,127.1092392,만랩커피(판교알파돔시티점),13530) 경기도 성남시 분당구 판교역로 145 1층 124호 
UHY57I,37.5686265,126.8255821,만랩커피(마곡나루역점),"07788) 서울특별시 강서구 마곡중앙로 161-22 109호(마곡동, 마곡일성트루엘플래닛) "
V16Z9V,37.5972857,126.6993533,맘스행복부페QR,22624) 인천 서구 고산후로 152 102호 원당동 
WZTVOF,37.503987,127.0400936,리밍,"06139) 서울 강남구 테헤란로37길 27 역삼동, 1층 "
XKIG6T,37.7689921,128.8787591,맘스터치_(강릉교동점),25511) 강원도 강릉시 솔올로 79 교동 
ZZMJRZ,37.5637417,126.9704545,매머드익스프레스(덕수궁롯데캐슬점),"04516) 서울특별시 중구 서소문로9길 28, 지1층 B101호 (순화동, 덕수궁롯데캐슬) "
3P2JQP,37.0074906,127.2709018,롯데리아(안성중앙점),456330) 경기도 안성시 중앙로 397
6IH11Z,33.506982,126.4928446,롯데리아(제주공항점),690727) 제주특별자치도 제주시 공항로 2
6ZHFTT,37.5714538,127.0015555,라홍방 마라탕(종로5가역점),03129) 서울 종로구 대학로1길 6 효제동 1층 
8LJLIO,37.5664348,127.0065872,롯데리아(동대문역사문화공원역점),100851) 서울특별시 중구 을지로 255
8TY7VX,37.4833346,126.8937875,량,08381) 서울특별시 구로구 디지털로 271 벽산디지털밸리Ⅲ 지2층 비202호
9C5Z35,37.5416504,127.0581846,러프러프,"04783) 서울 성동구 연무장길 81 성수동2가, 남경빌딩 4층 "
AH53C2,37.5230078,126.925604,렐란디,"07327) 서울 영등포구 여의나루로 57, 지하1층 여의도동, 신송센타빌딩 "
C3XEYS,37.5548377,126.9717321,롯데리아(서울역사점),140761) 서울특별시 용산구 한강대로 405 서울역(철도역)
DA1S8D,37.462923,126.433125,롯데리아 T2 에어점(서),22382) 인천광역시 중구 제2터미널대로 446 3층 A/S서편 235번 인근 제 2여객터미널 A/S 서편 235번 인근 
DBLN88,37.44678,126.447606,롯데리아 T1 에어점,"22382) 인천광역시 중구 공항로 272, 제1여객터미널 면세동 3층(운서동) T1 A/S 3F 10번 게이트 "
E0Y5A9,37.6798483,127.2092172,롯데리아(오남어람점),12048) 경기도 남양주시 진건오남로 511
E2ZR7D,37.6494161,127.141192,롯데리아(퇴계원점),472822) 경기도 남양주시 퇴계원로 30 보성빌딩
FAR643,37.571343,126.983294,리김밥(센트로폴리스점),"03161) 서울 종로구 우정국로 26 1층 8A호(공평동, 센트로폴리스) "
FX7VHM,37.5586283,126.8034637,롯데리아(신김포공항점),07505) 서울 강서구 하늘길 112  김포공항 
GJQH91,35.1726223,128.9459993,롯데리아(김해국제공항점),46718) 부산광역시 강서구 공항진입로 108
H1ZE39,36.9943242,127.1404632,롯데리아(안성공도DT점),17564) 경기도 안성시 공도읍 22-11
H4N4GU,37.6341949,127.2104743,롯데리아(금곡점),472010) 경기도 남양주시 금곡동 156-40
HKRS07,37.8796945,127.7278232,롯데리아(춘천명동점),200941) 강원 춘천시 조양동  125 
JPN67H,37.7185858,127.1824038,롯데리아(장현점),472865) 경기도 남양주시 장현로 93
K7Y9JF,37.464475,126.4413546,롯데리아 T2 출국점,"22382) 인천광역시 중구 공항로 446, 제2여객터미널 일반동 3층(운서동) T2 L/S 3F 중앙 "
KSKVJG,37.5150053,127.0331444,롯데리아(학동역점),06053) 서울특별시 강남구 학동로 219 국제빌딩
LA11691,35.8763771,128.6292177,롯데리아(동대구점),41244) 대구광역시 동구 동부로30길 7
LA12939,33.5070773,126.493094,롯데리아(제주공항국내선탑승점),63115) 제주 제주시 공항로 제주공항 롯데리아 제주공항국내선탑승점 
LA13071,37.5554746,126.921507,롯데리아(홍대점),03995) 서울 마포구 양화로 141 롯데호텔 L7 1층 
LM_340,37.4901386,127.006475,롯데마트(서초점),06655) 서울특별시 서초구 서초대로38길 12 롯데마트
LM_424,37.4926601,126.4911961,롯데마트(영종도점),22371) 인청광역시 중구 운서동 2803-2번지 롯데마트
LW10U7,37.561721,126.8027404,롯데리아(롯데몰김포공항점),"157220) 서울특별시 강서구 하늘길 38 김포공항, 롯데몰, 스카이시티"
MO0Y0I,37.455839,126.444815,롯데리아 탑승동점,"22382) 인천광역시 중구 공항로 272, 제1여객터미널 탑승동 3층(운서동) T1 탑승동 3F 119번 게이트 "
MXXWGM,37.6541022,127.2441287,롯데리아(호평점),472120) 경기도 남양주시 늘을2로14번길 3 에이스프라자
NEIIBD,37.6522348,127.3065985,롯데리아(마석점),472848) 경기도 남양주시 마석로 14
O7Z05D,37.3698632,127.9371004,롯데리아(원주우산점),220952) 강원도 원주시 우산로 72
PRWBJH,37.5619757,127.0637778,롯데리아(장한평역점),02633) 서울특별시 동대문구 천호대로 401 삼성생명 장안동사옥
PXOW5Y,37.449282,126.450995,롯데리아 T1 출국점,"22382) 인천광역시 중구 공항로 272, 제1여객터미널 일반동 3층(운서동) T1 L/S 3F 중앙 "
QMOWX7,37.5586538,126.8034637,롯데리아(김포국제공항국내선청사4F점),07505) 서울특별시 강서구 하늘길 112 김포공항
RN47NL,37.658759,127.1248411,롯데리아(별내신도시점),472501) 경기 남양주시 순화궁로 357 357
RVDA8G,37.57079,126.98356,랄랄라클럽,"03161) 서울 종로구 종로 51 종로2가, 종로타워 지하 1층 106호 "
U02RD1,37.3419578,127.1021438,레드웍,"16826) 경기도 용인시 수지구 신수로 805 102호(동천동, K2빌딩) "
VX2NKW,37.4493722,126.4513555,락희과자점,"22382) 인천광역시 중구 공항로 271 제1터미널 1층(운서동, 인천공항 제1터미널) "
WF9ICQ,37.5078034,127.0649363,록스플레이트,06174) 서울특별시 강남구 대치동 1001-6  지하1층
WNJUJU,37.7086012,127.1178573,롯데리아(남양주청학점),472811) 경기도 남양주시 청학로중앙길 15 주공프라자
WNUFIY,37.3971059,127.110047,람바다,"13524) 경기 성남시 분당구 판교역로 184 2층, 202호 (삼평동 JS타워) "
WNV2ZM,37.7644291,128.8760308,롯데리아(강릉교동점),210924) 강원도 강릉시 교동광장로 106
XD2Z9J,37.5647524,126.9817309,롯데리아(소공2호점),100721) 서울특별시 중구 남대문로 81 롯데백화점 본점
XP4A6Y,37.4961371,126.9997648,로즈키친,06580) 서울특별시 서초구 서래로2길 27(반포동. 3층) 
YGQ75V,37.566725,127.009506,롤링핀(동대문DDP점),04566) 서울특별시 중구 을지로 281 을지로7가 동대문 DDP 
ZLWKMH,37.2980217,127.0696819,래래차이니즈,16944) 경기도 용인시 수지구 광교중앙로 301 상현동 1층 
0BOSA7,37.448744,126.4509096,동원홈푸드(인천공항택시주차장),22382) 인천광역시 중구 공항로 271 인천국제공항 택시주차장 식당
0FEAW7,37.5687379,127.0087143,두타몰(DT275),"04563) 서울특별시 중구 장충단로 275 (을지로6가, 두산타워빌딩) 3층 275호 "
1AF86Z,37.5689316,127.0087977,두타몰(아비꼬),04563) 서울특별시 중구 장충단로 275 지하2층 111호 
31KO00,37.5689316,127.0087977,두타몰(24F로봇카페),"04563) 서울특별시 중구 장충단로 275 (을지로6가, 두산타워빌딩) 24층 "
7LQJTH,37.5689316,127.0087977,두타몰(젤라또로플),"04563) 서울특별시 중구 장충단로 275 (을지로6가, 두산타워빌딩) B2F 115호 "
86JZMW,37.4021961,127.1060418,됐소(판교점),"13494) 경기도 성남시 분당구 대왕판교로 670 (삼평동, 유스페이스2지하1층비101호) "
8J3VDG,37.5689316,127.0087977,두타몰(로봇카페),"04563) 서울특별시 중구 장충단로 275 (을지로6가, 두산타워빌딩) 3층 275호 "
A92HKS,37.3134667,127.0787098,뚜레쥬르 (용인데이파크점),"00000) 경기도 용인시 수지구 성복2로 51 B동 103,104호 용인데이파크 "
B663EL,37.46847,126.434072,동원홈푸드(제2여객터미널 LS),"22382) 인천광역시 중구 공항로 272 (운서동, 인천국제공항 제2여객터미널) "
